species	MMR	Q
Tachyglossus_aculeosos	4.0594	0.00419637404162824
Ovis_aries	10.4964	0.102520218208325
Dasyuroides_byrnei	28.0813	0.00106749055762975
Isoodon_obesulus	18.7927	0.00912911074658252
Bettongia_penicillata	28.2343	0.00915429751046042
Potorous_tridactylus	18.4124	0.00270661151521414
Vulpes_vulpes	33.7985	0.0255004467818481
Equus_caballus	28.5026	68.0760592938189
Bos_taurus	32.0639	0.284636305715319
Oryctolagus_cuniculus	11.0685	0.00691241576546631
Tiliqua_rugosa	2.0709	0.000122070781026895
Tiliqua_scincoides	1.4657	0.000421616522872098
Varanus_gouldii	8.0259	0.0159635094141206
Varanus_mertensi	3.1682	0.0166410749431763
Varanus_panoptes	5.1303	0.0119832174944249
Varanus_varius	4.0172	0.00754783554552141
Crocodylus_porosus	0.1954	0.119740395969076
Chelonia_mydas	4.5260	0.016188765828412
Capra_hircus	72.1908	0.0896899314112585
Sus_scrofa	7.7701	0.0821046620079913
Campinasuchus_dinizi	NA	0.0728054940780934
Araripesuchus_sp	NA	0.107938763910875
Sahitisuchus_fluminensis	NA	0.0604462615346982
Itasuchus_jesuinoi	NA	0.383042515669238
Pissarrachampsa_sera	NA	0.39347801987892
Coronelsuchus_civali	NA	0.0428590415575569
Uberabasuchus_terrificus	NA	0.159138846211418
